Numero,Nome,Abbreviazione
1,"Borneo",""
2,"The Australian Outback","Australia"
3,"Africa",""
4,"Marquesas",""
5,"Thailand",""
6,"The Amazon",""
7,"Pearl Islands",""
8,"All-Stars",""
9,"Vanuatu",""
10,"Palau",""
11,"Guatemala",""
12,"Panama",""
13,"Cook Islands",""
14,"Fiji",""
15,"China",""
16,"Micronesia",""
17,"Gabon",""
18,"Tocantins",""
19,"Samoa",""
20,"Heroes vs. Villains","HvV"
21,"Nicaragua",""
22,"Redemption Island",""
23,"South Pacific",""
24,"One World",""
25,"Philippines",""
26,"Caramoan",""
27,"Blood vs. Water","BvW"
28,"Cagayan",""
29,"San Juan del Sur","SJDS"
30,"Worlds Apart",""
31,"Cambodia",""
32,"Kaôh Rōng",""
33,"Millennials vs. Gen X","MvGX"
34,"Game Changers",""
35,"Heroes vs. Healers vs. Hustlers","HvHvH"
36,"Ghost Island",""
37,"David vs. Goliath","DvG"
38,"Edge of Extinction","EoE"
39,"Island of the Idols","IoI"
40,"Winners at War","WaW"
41,"Survivor 41",""
42,"Survivor 42",""
43,"Survivor 43",""
44,"Survivor 44",""
45,"Survivor 45",""
46,"Survivor 46",""
47,"Survivor 47",""
48,"Survivor 48",""
49,"Survivor 49",""
50,"Survivor 50: In the Hands of the Fans","50"
